city_fips,name,stname,city_pop_10,city_pop_15,city_pop_18
0100124,Abbeville city,Alabama,2688,2588,2563
0100460,Adamsville city,Alabama,4522,4406,4325
0100484,Addison town,Alabama,758,735,724
0100676,Akron town,Alabama,356,337,330
0100820,Alabaster city,Alabama,30352,32739,33340
0100988,Albertville city,Alabama,21160,21395,21568
0101132,Alexander City city,Alabama,14875,14658,14467
0101228,Aliceville city,Alabama,2486,2359,2301
0101396,Allgood town,Alabama,622,621,622
0101660,Altoona town,Alabama,933,921,914
0101708,Andalusia city,Alabama,9015,8935,8735
0101756,Anderson town,Alabama,282,276,271
0101852,Anniston city,Alabama,23106,22103,21569
0102116,Arab city,Alabama,8050,8217,8321
0102260,Ardmore town,Alabama,1194,1347,1420
0102320,Argo town,Alabama,4071,4202,4306
0102428,Ariton town,Alabama,764,742,735
0102500,Arley town,Alabama,357,350,346
0102836,Ashford town,Alabama,2148,2153,2152
0102860,Ashland town,Alabama,2037,1950,1914
0102908,Ashville city,Alabama,2212,2250,2319
0102956,Athens city,Alabama,21897,24737,26247
0103004,Atmore city,Alabama,10194,9989,9354
0103028,Attalla city,Alabama,6048,5866,5799
0103076,Auburn city,Alabama,53380,61818,65738
0103220,Autaugaville town,Alabama,870,857,855
0103364,Avon town,Alabama,543,501,503
0103556,Babbie town,Alabama,603,604,600
0103676,Baileyton town,Alabama,610,618,624
0103724,Bakerhill town,Alabama,279,264,252
0103940,Banks town,Alabama,179,168,169
0104660,Bay Minette city,Alabama,8044,8969,9291
0104684,Bayou La Batre city,Alabama,2558,2538,2503
0104852,Bear Creek town,Alabama,1070,1047,1042
0104900,Beatrice town,Alabama,301,285,277
0104948,Beaverton town,Alabama,201,184,183
0105164,Belk town,Alabama,215,207,205
0105692,Benton town,Alabama,49,45,42
0105932,Berry town,Alabama,1148,1111,1098
0105980,Bessemer city,Alabama,27456,26907,26538
0106460,Billingsley town,Alabama,144,142,141
0107000,Birmingham city,Alabama,212237,211703,209880
0107120,Black town,Alabama,207,207,207
0107456,Blountsville town,Alabama,1684,1672,1657
0107672,Blue Springs town,Alabama,96,91,88
0107912,Boaz city,Alabama,9551,9599,9656
0108104,Boligee town,Alabama,328,309,297
0108248,Bon Air town,Alabama,116,115,114
0109016,Brantley town,Alabama,809,792,782
0109136,Brent city,Alabama,4947,4896,4772
0109208,Brewton city,Alabama,5408,5303,5189
0109328,Bridgeport city,Alabama,2418,2342,2301
0109400,Brighton city,Alabama,2945,2850,2785
0109424,Brilliant town,Alabama,900,879,870
0109736,Brookside town,Alabama,1363,1333,1323
0109808,Brookwood town,Alabama,1828,1852,1857
0110240,Brundidge city,Alabama,2076,1977,1939
0111032,Butler town,Alabama,1894,1811,1739
0111416,Calera city,Alabama,11620,13298,14380
0111512,Camden city,Alabama,2020,1884,1819
0111680,Camp Hill town,Alabama,1014,973,955
0112016,Carbon Hill city,Alabama,2021,1957,1916
0112040,Cardiff town,Alabama,55,54,55
0112160,Carolina town,Alabama,297,297,293
0112304,Carrollton town,Alabama,1019,979,957
0112496,Castleberry town,Alabama,583,567,545
0112760,Cedar Bluff town,Alabama,1820,1805,1819
0113264,Center Point city,Alabama,16921,16591,16222
0113648,Centre city,Alabama,3489,3506,3514
0113672,Centreville city,Alabama,2778,2680,2639
0114008,Chatom town,Alabama,1288,1229,1196
0114104,Chelsea city,Alabama,10183,12187,13531
0114152,Cherokee town,Alabama,1048,1013,1004
0114392,Chickasaw city,Alabama,6106,5900,5745
0114464,Childersburg city,Alabama,5175,5005,4880
0115064,Citronelle city,Alabama,3905,3916,3889
0115136,Clanton city,Alabama,8619,8724,8756
0115256,Clay city,Alabama,9708,9679,9646
0115304,Clayhatchee town,Alabama,589,581,580
0115376,Clayton town,Alabama,3008,2915,2856
0115472,Cleveland town,Alabama,1303,1303,1301
0115640,Clio city,Alabama,1399,1488,1270
0116000,Coaling town,Alabama,1657,1668,1660
0116240,Coffee Springs town,Alabama,228,227,225
0116264,Coffeeville town,Alabama,352,337,327
0116312,Coker town,Alabama,979,973,965
0116600,Collinsville town,Alabama,1983,1964,1962
0116684,Colony town,Alabama,268,272,277
0116744,Columbia town,Alabama,740,733,735
0116768,Columbiana city,Alabama,4197,4213,4588
0117176,Coosada town,Alabama,1224,1231,1301
0117368,Cordova city,Alabama,2095,1999,1936
0117824,Cottonwood town,Alabama,1289,1264,1245
0117968,County Line town,Alabama,258,262,264
0118040,Courtland town,Alabama,609,593,588
0118088,Cowarts town,Alabama,1871,2010,2048
0118304,Creola city,Alabama,1926,1967,2015
0118856,Crossville town,Alabama,1862,1839,1839
0118952,Cuba town,Alabama,346,320,300
0118976,Cullman city,Alabama,14775,15433,15858
0119216,Cusseta town,Alabama,123,123,123
