cty_fips,cbsa_fips,cbsa,cbsa_type,csa_fips,csa,st_fips,cty_type
46013,10100,"Aberdeen, SD",Micro,,,46,Central
46045,10100,"Aberdeen, SD",Micro,,,46,Outlying
53027,10140,"Aberdeen, WA",Micro,,,53,Central
48059,10180,"Abilene, TX",Metro,,,48,Outlying
48253,10180,"Abilene, TX",Metro,,,48,Outlying
48441,10180,"Abilene, TX",Metro,,,48,Central
40123,10220,"Ada, OK",Micro,,,40,Central
26091,10300,"Adrian, MI",Micro,220,"Detroit-Warren-Ann Arbor, MI",26,Central
72003,10380,"Aguadilla-Isabela, PR",Metro,,,72,Central
72005,10380,"Aguadilla-Isabela, PR",Metro,,,72,Central
72011,10380,"Aguadilla-Isabela, PR",Metro,,,72,Central
72071,10380,"Aguadilla-Isabela, PR",Metro,,,72,Central
72081,10380,"Aguadilla-Isabela, PR",Metro,,,72,Central
72099,10380,"Aguadilla-Isabela, PR",Metro,,,72,Central
72117,10380,"Aguadilla-Isabela, PR",Metro,,,72,Central
72131,10380,"Aguadilla-Isabela, PR",Metro,,,72,Central
72141,10380,"Aguadilla-Isabela, PR",Metro,,,72,Central
39133,10420,"Akron, OH",Metro,184,"Cleveland-Akron-Canton, OH",39,Central
39153,10420,"Akron, OH",Metro,184,"Cleveland-Akron-Canton, OH",39,Central
35035,10460,"Alamogordo, NM",Micro,,,35,Central
13095,10500,"Albany, GA",Metro,,,13,Central
13177,10500,"Albany, GA",Metro,,,13,Central
13273,10500,"Albany, GA",Metro,,,13,Outlying
13321,10500,"Albany, GA",Metro,,,13,Outlying
41043,10540,"Albany-Lebanon, OR",Metro,440,"Portland-Vancouver-Salem, OR-WA",41,Central
36001,10580,"Albany-Schenectady-Troy, NY",Metro,104,"Albany-Schenectady, NY",36,Central
36083,10580,"Albany-Schenectady-Troy, NY",Metro,104,"Albany-Schenectady, NY",36,Central
36091,10580,"Albany-Schenectady-Troy, NY",Metro,104,"Albany-Schenectady, NY",36,Central
36093,10580,"Albany-Schenectady-Troy, NY",Metro,104,"Albany-Schenectady, NY",36,Central
36095,10580,"Albany-Schenectady-Troy, NY",Metro,104,"Albany-Schenectady, NY",36,Outlying
37167,10620,"Albemarle, NC",Micro,172,"Charlotte-Concord, NC-SC",37,Central
27047,10660,"Albert Lea, MN",Micro,,,27,Central
01095,10700,"Albertville, AL",Micro,,,1,Central
35001,10740,"Albuquerque, NM",Metro,106,"Albuquerque-Santa Fe-Las Vegas, NM",35,Central
35043,10740,"Albuquerque, NM",Metro,106,"Albuquerque-Santa Fe-Las Vegas, NM",35,Central
35057,10740,"Albuquerque, NM",Metro,106,"Albuquerque-Santa Fe-Las Vegas, NM",35,Outlying
35061,10740,"Albuquerque, NM",Metro,106,"Albuquerque-Santa Fe-Las Vegas, NM",35,Outlying
01037,10760,"Alexander City, AL",Micro,388,"Montgomery-Selma-Alexander City, AL",1,Outlying
01123,10760,"Alexander City, AL",Micro,388,"Montgomery-Selma-Alexander City, AL",1,Central
22043,10780,"Alexandria, LA",Metro,,,22,Outlying
22079,10780,"Alexandria, LA",Metro,,,22,Central
27041,10820,"Alexandria, MN",Micro,,,27,Central
48131,10860,"Alice, TX",Micro,204,"Corpus Christi-Kingsville-Alice, TX",48,Outlying
48249,10860,"Alice, TX",Micro,204,"Corpus Christi-Kingsville-Alice, TX",48,Central
34041,10900,"Allentown-Bethlehem-Easton, PA-NJ",Metro,,,34,Central
42025,10900,"Allentown-Bethlehem-Easton, PA-NJ",Metro,,,42,Central
42077,10900,"Allentown-Bethlehem-Easton, PA-NJ",Metro,,,42,Central
42095,10900,"Allentown-Bethlehem-Easton, PA-NJ",Metro,,,42,Central
26057,10940,"Alma, MI",Micro,394,"Mount Pleasant-Alma, MI",26,Central
26007,10980,"Alpena, MI",Micro,,,26,Central
42013,11020,"Altoona, PA",Metro,107,"Altoona-Huntingdon, PA",42,Central
40065,11060,"Altus, OK",Micro,,,40,Central
48011,11100,"Amarillo, TX",Metro,108,"Amarillo-Pampa-Borger, TX",48,Outlying
48065,11100,"Amarillo, TX",Metro,108,"Amarillo-Pampa-Borger, TX",48,Outlying
48359,11100,"Amarillo, TX",Metro,108,"Amarillo-Pampa-Borger, TX",48,Outlying
48375,11100,"Amarillo, TX",Metro,108,"Amarillo-Pampa-Borger, TX",48,Central
48381,11100,"Amarillo, TX",Metro,108,"Amarillo-Pampa-Borger, TX",48,Central
13249,11140,"Americus, GA",Micro,,,13,Outlying
13261,11140,"Americus, GA",Micro,,,13,Central
19015,11180,"Ames, IA",Metro,218,"Des Moines-Ames-West Des Moines, IA",19,Outlying
19169,11180,"Ames, IA",Metro,218,"Des Moines-Ames-West Des Moines, IA",19,Central
36057,11220,"Amsterdam, NY",Micro,104,"Albany-Schenectady, NY",36,Central
02020,11260,"Anchorage, AK",Metro,,,2,Central
02170,11260,"Anchorage, AK",Metro,,,2,Outlying
48003,11380,"Andrews, TX",Micro,,,48,Central
18151,11420,"Angola, IN",Micro,258,"Fort Wayne-Huntington-Auburn, IN",18,Central
26161,11460,"Ann Arbor, MI",Metro,220,"Detroit-Warren-Ann Arbor, MI",26,Central
01015,11500,"Anniston-Oxford, AL",Metro,,,1,Central
55015,11540,"Appleton, WI",Metro,118,"Appleton-Oshkosh-Neenah, WI",55,Central
55087,11540,"Appleton, WI",Metro,118,"Appleton-Oshkosh-Neenah, WI",55,Central
12027,11580,"Arcadia, FL",Micro,412,"North Port-Sarasota, FL",12,Central
40019,11620,"Ardmore, OK",Micro,,,40,Central
40085,11620,"Ardmore, OK",Micro,,,40,Outlying
72013,11640,"Arecibo, PR",Metro,490,"San Juan-Bayamón, PR",72,Central
72027,11640,"Arecibo, PR",Metro,490,"San Juan-Bayamón, PR",72,Central
72065,11640,"Arecibo, PR",Metro,490,"San Juan-Bayamón, PR",72,Central
72115,11640,"Arecibo, PR",Metro,490,"San Juan-Bayamón, PR",72,Central
05019,11660,"Arkadelphia, AR",Micro,,,5,Central
37021,11700,"Asheville, NC",Metro,120,"Asheville-Marion-Brevard, NC",37,Central
37087,11700,"Asheville, NC",Metro,120,"Asheville-Marion-Brevard, NC",37,Central
37089,11700,"Asheville, NC",Metro,120,"Asheville-Marion-Brevard, NC",37,Central
37115,11700,"Asheville, NC",Metro,120,"Asheville-Marion-Brevard, NC",37,Outlying
39005,11740,"Ashland, OH",Micro,360,"Mansfield-Ashland-Bucyrus, OH",39,Central
39007,11780,"Ashtabula, OH",Micro,184,"Cleveland-Akron-Canton, OH",39,Central
41007,11820,"Astoria, OR",Micro,,,41,Central
20005,11860,"Atchison, KS",Micro,312,"Kansas City-Overland Park-Kansas City, MO-KS",20,Central
39009,11900,"Athens, OH",Micro,,,39,Central
47107,11940,"Athens, TN",Micro,174,"Chattanooga-Cleveland-Dalton, TN-GA",47,Central
48213,11980,"Athens, TX",Micro,206,"Dallas-Fort Worth, TX-OK",48,Central
13059,12020,"Athens-Clarke County, GA",Metro,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",13,Central
13195,12020,"Athens-Clarke County, GA",Metro,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",13,Outlying
13219,12020,"Athens-Clarke County, GA",Metro,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",13,Central
13221,12020,"Athens-Clarke County, GA",Metro,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",13,Outlying
13013,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Metro,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",13,Outlying
13015,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Metro,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",13,Outlying
13035,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Metro,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",13,Outlying
13045,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Metro,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",13,Outlying
13057,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Metro,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",13,Central
13063,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Metro,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",13,Central
13067,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Metro,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",13,Central
13077,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Metro,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",13,Central
13085,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Metro,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",13,Outlying
13089,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Metro,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",13,Central
13097,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Metro,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",13,Central
13113,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Metro,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",13,Central
13117,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Metro,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",13,Central
13121,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Metro,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",13,Central
