CBSA Code,Metropolitan/Micropolitan Statistical Area,Principal City Name,FIPS State Code,FIPS Place Code,CBSA Title,CBSA First Listed City,If
10100,Micropolitan Statistical Area,Aberdeen,46,00100,"Aberdeen, SD",Aberdeen,1
10140,Micropolitan Statistical Area,Aberdeen,53,00100,"Aberdeen, WA",Aberdeen,1
10180,Metropolitan Statistical Area,Abilene,48,01000,"Abilene, TX",Abilene,1
10220,Micropolitan Statistical Area,Ada,40,00200,"Ada, OK",Ada,1
10300,Micropolitan Statistical Area,Adrian,26,00440,"Adrian, MI",Adrian,1
10380,Metropolitan Statistical Area,Aguadilla,72,00745,"Aguadilla-Isabela, PR",Aguadilla,1
10380,Metropolitan Statistical Area,Isabela,72,36478,"Aguadilla-Isabela, PR",Aguadilla,0
10420,Metropolitan Statistical Area,Akron,39,01000,"Akron, OH",Akron,1
10460,Micropolitan Statistical Area,Alamogordo,35,01780,"Alamogordo, NM",Alamogordo,1
10500,Metropolitan Statistical Area,Albany,13,01052,"Albany, GA",Albany,1
10540,Metropolitan Statistical Area,Albany,41,01000,"Albany-Lebanon, OR",Albany,1
10540,Metropolitan Statistical Area,Lebanon,41,41650,"Albany-Lebanon, OR",Albany,0
10580,Metropolitan Statistical Area,Albany,36,01000,"Albany-Schenectady-Troy, NY",Albany,1
10580,Metropolitan Statistical Area,Schenectady,36,65508,"Albany-Schenectady-Troy, NY",Albany,0
10580,Metropolitan Statistical Area,Troy,36,75484,"Albany-Schenectady-Troy, NY",Albany,0
10620,Micropolitan Statistical Area,Albemarle,37,00680,"Albemarle, NC",Albemarle,1
10660,Micropolitan Statistical Area,Albert Lea,27,00694,"Albert Lea, MN",Albert Lea,1
10700,Micropolitan Statistical Area,Albertville,01,00988,"Albertville, AL",Albertville,1
10740,Metropolitan Statistical Area,Albuquerque,35,02000,"Albuquerque, NM",Albuquerque,1
10760,Micropolitan Statistical Area,Alexander City,01,01132,"Alexander City, AL",Alexander City,1
10780,Metropolitan Statistical Area,Alexandria,22,00975,"Alexandria, LA",Alexandria,1
10820,Micropolitan Statistical Area,Alexandria,27,00928,"Alexandria, MN",Alexandria,1
10860,Micropolitan Statistical Area,Alice,48,01852,"Alice, TX",Alice,1
10900,Metropolitan Statistical Area,Allentown,42,02000,"Allentown-Bethlehem-Easton, PA-NJ",Allentown,1
10900,Metropolitan Statistical Area,Bethlehem,42,06088,"Allentown-Bethlehem-Easton, PA-NJ",Allentown,0
10940,Micropolitan Statistical Area,Alma,26,01540,"Alma, MI",Alma,1
10980,Micropolitan Statistical Area,Alpena,26,01740,"Alpena, MI",Alpena,1
11020,Metropolitan Statistical Area,Altoona,42,02184,"Altoona, PA",Altoona,1
11060,Micropolitan Statistical Area,Altus,40,01700,"Altus, OK",Altus,1
11100,Metropolitan Statistical Area,Amarillo,48,03000,"Amarillo, TX",Amarillo,1
11140,Micropolitan Statistical Area,Americus,13,02116,"Americus, GA",Americus,1
11180,Metropolitan Statistical Area,Ames,19,01855,"Ames, IA",Ames,1
11220,Micropolitan Statistical Area,Amsterdam,36,02066,"Amsterdam, NY",Amsterdam,1
11260,Metropolitan Statistical Area,Anchorage,02,03000,"Anchorage, AK",Anchorage,1
11380,Micropolitan Statistical Area,Andrews,48,03216,"Andrews, TX",Andrews,1
11420,Micropolitan Statistical Area,Angola,18,01666,"Angola, IN",Angola,1
11460,Metropolitan Statistical Area,Ann Arbor,26,03000,"Ann Arbor, MI",Ann Arbor,1
11500,Metropolitan Statistical Area,Anniston,01,01852,"Anniston-Oxford, AL",Anniston,1
11500,Metropolitan Statistical Area,Oxford,01,57576,"Anniston-Oxford, AL",Anniston,0
11540,Metropolitan Statistical Area,Appleton,55,02375,"Appleton, WI",Appleton,1
11580,Micropolitan Statistical Area,Arcadia,12,01750,"Arcadia, FL",Arcadia,1
11620,Micropolitan Statistical Area,Ardmore,40,02600,"Ardmore, OK",Ardmore,1
11640,Metropolitan Statistical Area,Arecibo,72,03368,"Arecibo, PR",Arecibo,1
11660,Micropolitan Statistical Area,Arkadelphia,05,01870,"Arkadelphia, AR",Arkadelphia,1
11700,Metropolitan Statistical Area,Asheville,37,02140,"Asheville, NC",Asheville,1
