city_fips,city_fips2,cty_fips,feature,city,city2,county,state
2875880,2811580,28015,County Seat 2,Vaiden,Carrollton,Carroll,MS
552970,513300,5047,County Seat 2,Ozark,Charleston,Franklin,AR
2878000,2814740,28161,County Seat 2,Water Valley,Coffeeville,Yalobusha,MS
555130,515460,5021,County Seat 2,Piggott,Corning,Clay,AR
517380,517320,5149,County Seat 2,Dardanelle,Danville,Yell,AR
518550,518640,5117,County Seat 2,Des Arc,De Valls Bluff,Prairie,AR
567490,518790,5001,County Seat 2,Stuttgart,De Witt,Arkansas,AR
2839640,2822020,28067,County Seat 2,Laurel,Ellisville,Jones,MS
505560,522240,5015,County Seat 2,Berryville,Eureka Springs,Carroll,AR
524550,528780,5131,County Seat 2,Fort Smith,Greenwood,Sebastian,AR
535710,537780,5031,County Seat 2,Jonesboro,Lake City,Craighead,AR
2833900,2853680,28017,County Seat 2,Houston,Okolona,Chickasaw,MS
507330,552580,5093,County Seat 2,Blytheville,Osceola,Mississippi,AR
507720,553480,5083,County Seat 2,Booneville,Paris,Logan,AR
2804060,2855640,28061,County Seat 2,Bay Springs,Paulding,Jasper,MS
2814260,2863720,28011,County Seat 2,Cleveland,Rosedale,Bolivar,MS
2803620,2865560,28107,County Seat 2,Batesville,Sardis,Panola,MS
2812900,2871520,28135,County Seat 2,Charleston,Sumner,Tallahatchie,MS
5656215,,56045,County Seat,Newcastle,,Weston,WY
5684925,,56043,County Seat,Worland,,Washakie,WY
5625620,,56041,County Seat,Evanston,,Uinta,WY
5640120,,56039,County Seat,Jackson,,Teton,WY
5633740,,56037,County Seat,Green River,,Sweetwater,WY
5661580,,56035,County Seat,Pinedale,,Sublette,WY
5669845,,56033,County Seat,Sheridan,,Sheridan,WY
5683040,,56031,County Seat,Wheatland,,Platte,WY
5615760,,56029,County Seat,Cody,,Park,WY
5648530,,56027,County Seat,Lusk,,Niobrara,WY
5613150,,56025,County Seat,Casper,,Natrona,WY
5642005,,56023,County Seat,Kemmerer,,Lincoln,WY
5613900,,56021,State Capital   County Seat,Cheyenne,,Laramie,WY
5610685,,56019,County Seat,Buffalo,,Johnson,WY
5676515,,56017,County Seat,Thermopolis,,Hot Springs,WY
5677530,,56015,County Seat,Torrington,,Goshen,WY
5644760,,56013,County Seat,Lander,,Fremont,WY
5674195,,56011,County Seat,Sundance,,Crook,WY
5621125,,56009,County Seat,Douglas,,Converse,WY
5663900,,56007,County Seat,Rawlins,,Carbon,WY
5631855,,56005,County Seat,Gillette,,Campbell,WY
5605320,,56003,County Seat,Basin,,Big Horn,WY
5645050,,56001,County Seat,Laramie,,Albany,WY
5588200,,55141,County Seat,Wisconsin Rapids,,Wood,WI
5560500,,55139,County Seat,Oshkosh,,Winnebago,WI
5584625,,55137,County Seat,Wautoma,,Waushara,WI
5584375,,55135,County Seat,Waupaca,,Waupaca,WI
