cty_fips,cz2000,cz1990,cz1980,cty_name
1001,60,11101,28101,Autauga County
1003,254,11001,28201,Baldwin County
1005,20,10301,28801,Barbour County
1007,21,10801,28401,Bibb County
1009,21,10700,28401,Blount County
1011,20,9800,28102,Bullock County
1013,60,11101,28101,Butler County
1015,303,9600,29301,Calhoun County
1017,409,9600,29601,Chambers County
1019,558,6600,29301,Cherokee County
1021,21,10700,28401,Chilton County
1023,312,10802,28502,Choctaw County
1025,312,11001,28201,Clarke County
1027,190,9500,29501,Clay County
1029,303,9600,29301,Cleburne County
1031,188,10302,28802,Coffee County
1033,140,6200,34701,Colbert County
1035,380,11002,28301,Conecuh County
1037,190,9500,29501,Coosa County
1039,60,11102,28102,Covington County
1041,60,11102,28102,Crenshaw County
1043,120,10700,35001,Cullman County
1045,188,10302,28802,Dale County
1047,458,10801,28501,Dallas County
1049,558,6100,35401,DeKalb County
1051,60,11101,28101,Elmore County
1053,380,11002,28301,Escambia County
1055,558,6100,29301,Etowah County
1057,462,10600,28601,Fayette County
1059,140,6200,34701,Franklin County
1061,188,10302,28802,Geneva County
1063,216,10802,28502,Greene County
1065,216,10801,28401,Hale County
1067,188,10302,28802,Henry County
1069,188,10302,28802,Houston County
1071,106,6100,35401,Jackson County
1073,21,10700,28401,Jefferson County
1075,462,10600,28701,Lamar County
1077,140,6200,34701,Lauderdale County
1079,120,6000,35001,Lawrence County
1081,22,9800,29701,Lee County
1083,120,6000,35001,Limestone County
1085,60,11101,28101,Lowndes County
1087,22,9800,29701,Macon County
1089,120,6000,35001,Madison County
1091,312,10802,28502,Marengo County
1093,462,10600,28601,Marion County
1095,558,6100,35401,Marshall County
1097,254,11001,28201,Mobile County
1099,380,11002,28301,Monroe County
1101,60,11101,28101,Montgomery County
1103,120,6000,35001,Morgan County
1105,458,10801,28501,Perry County
1107,216,10501,28701,Pickens County
1109,60,11102,28102,Pike County
1111,409,9600,29601,Randolph County
1113,22,9701,29701,Russell County
1115,21,10700,28401,St. Clair County
1117,21,10700,28401,Shelby County
1119,312,10802,28502,Sumter County
1121,190,9500,29501,Talladega County
1123,190,9500,29501,Tallapoosa County
1125,216,10801,28401,Tuscaloosa County
1127,462,10600,28601,Walker County
1129,254,11001,28201,Washington County
1131,312,11001,28201,Wilcox County
1133,462,10600,28601,Winston County
2013,660,34101,,Aleutians East Borough
2016,171,34114,,Aleutians West Census Area
2020,103,34102,101,Anchorage Borough
2050,692,34112,101,Bethel Census Area
2060,639,34104,101,Bristol Bay Borough
2068,378,,,Denali Borough
2070,701,34107,101,Dillingham Census Area
2090,378,34115,101,Fairbanks North Star Borough
2100,638,34109,101,Haines Borough
2110,638,34109,101,Juneau Borough
2122,103,34102,101,Kenai Peninsula Borough
2130,649,34111,101,Ketchikan Gateway Borough
2150,667,34108,101,Kodiak Island Borough
2164,668,34107,,Lake and Peninsula Borough
2170,103,34102,101,Matanuska-Susitna Borough
2180,706,34106,101,Nome Census Area
2185,901,34113,101,North Slope Borough
2188,901,34105,,Northwest Arctic Borough
2201,649,34111,101,Prince of Wales-Outer Ketchikan Census Area
2220,638,34110,101,Sitka Borough
2232,638,,,Skagway-Hoonah-Angoon Census Area
2240,679,34115,101,Southeast Fairbanks Census Area
2261,645,34103,101,Valdez-Cordova Census Area
2270,707,34112,101,Wade Hampton Census Area
2280,696,34110,101,Wrangell-Petersburg Census Area
2282,638,,,Yakutat Borough
2290,378,34115,101,Yukon-Koyukuk Census Area
4001,552,35500,1201,Apache County
4003,476,35100,1401,Cochise County
4005,438,35401,1501,Coconino County
4007,158,35001,1301,Gila County
4009,207,35002,12601,Graham County
4011,207,35002,12601,Greenlee County
4012,323,38300,2301,La Paz County
4013,158,35001,1301,Maricopa County
4015,297,37901,2299,Mohave County
4017,552,35500,1201,Navajo County
4019,476,35100,1401,Pima County
4021,158,35001,1301,Pinal County
4023,476,35100,1401,Santa Cruz County
4025,438,35401,1501,Yavapai County
4027,658,38100,2301,Yuma County
5001,553,4301,36701,Arkansas County
5003,602,4101,36901,Ashley County
5005,321,25101,13103,Baxter County
5007,240,30300,5301,Benton County
5009,185,25103,5302,Boone County
5011,225,4102,36902,Bradley County
5013,92,4103,36903,Calhoun County
5015,185,25103,5302,Carroll County
5017,602,4102,36901,Chicot County
5019,411,34001,8601,Clark County
5021,259,25900,13201,Clay County
5023,568,25104,36801,Cleburne County
5025,225,4102,36902,Cleveland County
5027,422,4001,8602,Columbia County
5029,71,4200,36802,Conway County
5031,259,25900,13301,Craighead County
5033,49,30100,5601,Crawford County
5035,1,5300,16401,Crittenden County
5037,413,5300,36702,Cross County
5039,92,4103,36903,Dallas County
5041,225,4102,36902,Desha County
5043,225,4102,36902,Drew County
5045,71,4200,36802,Faulkner County
5047,49,30000,5601,Franklin County
5049,430,25102,13101,Fulton County
5051,411,34001,8601,Garland County
5053,71,4200,36902,Grant County
5055,259,25900,13301,Greene County
5057,265,34001,8602,Hempstead County
5059,411,34001,8601,Hot Spring County
5061,265,34001,8601,Howard County
5063,430,25105,13101,Independence County
5065,430,25105,13101,Izard County
5067,568,4302,13102,Jackson County
5069,225,4102,36902,Jefferson County
5071,200,30000,5602,Johnson County
5073,422,4001,8602,Lafayette County
5075,259,25900,13301,Lawrence County
5077,413,5300,36702,Lee County
5079,225,4102,36902,Lincoln County
5081,29,33500,10401,Little River County
5083,49,30000,5601,Logan County
5085,71,4200,36802,Lonoke County
5087,240,30300,5301,Madison County
5089,321,25101,13103,Marion County
5091,29,33500,10401,Miller County
5093,520,25800,13201,Mississippi County
5095,553,4301,36702,Monroe County
5097,411,34001,8601,Montgomery County
5099,265,34001,8602,Nevada County
5101,185,25103,5302,Newton County
5103,92,4103,36903,Ouachita County
5105,71,4200,36802,Perry County
5107,413,5300,36702,Phillips County
