Team,Nickname,City,State,Conference,FirstPlayed,JoinedFBS,Stadium,Stadium_Capacity,Stadium_Built
Air Force,Falcons,Colorado Springs,Colorado,Mountain West,1955,,Falcon Stadium,46692,1962
Akron,Zips,Akron,Ohio,MAC,1891,1987,InfoCision Stadium-Summa Field,30000,2009
Alabama,Crimson Tide,Tuscaloosa,Alabama,SEC,1892,,Bryant-Denny Stadium,101821,1929
Appalachian State,Mountaineers,Boone,North Carolina,Sun Belt,1928,2014,Kidd Brewer Stadium,30000,1962
Arizona,Wildcats,Tucson,Arizona,Pac-12,1899,,Arizona Stadium,56029,1928
Arizona State,Sun Devils,Tempe,Arizona,Pac-12,1896,,"Sun Devil Stadium, Frank Kush Field",56232,1958
Arkansas,Razorbacks,Fayetteville,Arkansas,SEC,1894,,"Donald W. Reynolds Razorback Stadium, Frank Broyles Field",72000,1938
Arkansas State,Red Wolves,Jonesboro,Arkansas,Sun Belt,1911,1992,Centennial Bank Stadium,30964,1974
Army,Black Knights,West Point,New York,Independent,1890,,Blaik Field at Michie Stadium,38000,1924
Auburn,Tigers,Auburn,Alabama,SEC,1892,,Pat Dye Field at Jordan-Hare Stadium,87451,1939
Ball State,Cardinals,Muncie,Indiana,MAC,1924,,Scheumann Stadium,22500,1967
Baylor,Bears,Waco,Texas,Big 12,1899,,McLane Stadium,45140,2014
Boise State,Broncos,Boise,Idaho,Mountain West,1933,1996,Albertsons Stadium,36387,1970
Boston College,Eagles,Chestnut Hill,Massachusetts,ACC,1893,,Alumni Stadium,44500,1957
Bowling Green,Falcons,Bowling Green,Ohio,MAC,1919,,Doyt L. Perry Stadium,24000,1966
Buffalo,Bulls,Buffalo,New York,MAC,1894,1999,UB Stadium,29013,1993
BYU,Cougars,Provo,Utah,Independent,1922,,LaVell Edwards Stadium,63470,1964
California,Golden Bears,Berkeley,California,Pac-12,1882,,California Memorial Stadium,62717,1923
Central Michigan,Chippewas,Mount Pleasant,Michigan,MAC,1896,,Kelly/Shorts Stadium,30255,1972
Charlotte,49ers,Charlotte,North Carolina,C-USA,2013,2015,McColl-Richardson Field at Jerry Richardson Stadium,15314,2013
Cincinnati,Bearcats,Cincinnati,Ohio,American,1885,,Nippert Stadium,40000,1915
Clemson,Tigers,Clemson,South Carolina,ACC,1896,,Frank Howard Field at Clemson Memorial Stadium,81500,1942
Coastal Carolina,Chanticleers,Conway,South Carolina,Sun Belt,2003,2017,Brooks Stadium,20000,2003
Colorado,Buffaloes,Boulder,Colorado,Pac-12,1890,,Folsom Field,50183,1924
Colorado State,Rams,Fort Collins,Colorado,Mountain West,1890,,Sonny Lubick Field at Canvas Stadium,41200,2017
Duke,Blue Devils,Durham,North Carolina,ACC,1888,,Brooks Field at Wallace Wade Stadium,40000,1929
East Carolina,Pirates,Greenville,North Carolina,American,1932,,Bagwell Field at Dowdy-Ficklen Stadium,50000,1963
Eastern Michigan,Eagles,Ypsilanti,Michigan,MAC,1891,,Rynearson Stadium,30200,1969
FIU,Panthers,Miami,Florida,C-USA,2002,2006,Riccardo Silva Stadium,23500,1995
Florida,Gators,Gainesville,Florida,SEC,1906,,Steve Spurrier-Florida Field at Ben Hill Griffin Stadium,88548,1930
Florida Atlantic,Owls,Boca Raton,Florida,C-USA,2001,2006,FAU Stadium,30000,2011
Florida State,Seminoles,Tallahassee,Florida,ACC,1947,,Bobby Bowden Field at Doak S. Campbell Stadium,79560,1950
Fresno State,Bulldogs,Fresno,California,Mountain West,1921,,Bulldog Stadium at Jim Sweeney Field,41031,1980
Georgia,Bulldogs,Athens,Georgia,SEC,1892,,Sanford Stadium,92746,1929
Georgia Southern,Eagles,Statesboro,Georgia,Sun Belt,1924,2014,Allen E. Paulson Stadium,25000,1984
Georgia State,Panthers,Atlanta,Georgia,Sun Belt,2010,2013,Georgia State Stadium,25000,1996
Georgia Tech,Yellow Jackets,Atlanta,Georgia,ACC,1892,,Bobby Dodd Stadium at Historic Grant Field,55000,1913
Hawaii,Rainbow Warriors,Honolulu,Hawai'i,Mountain West,1909,,Aloha Stadium,50000,1975
Houston,Cougars,Houston,Texas,American,1946,,John O'Quinn Field at TDECU Stadium,40000,2014
Illinois,Fighting Illini,Urbana-Champaign,Illinois,Big Ten,1890,,Memorial Stadium,60670,1923
Indiana,Hoosiers,Bloomington,Indiana,Big Ten,1887,,Memorial Stadium,52959,1960
Iowa,Hawkeyes,Iowa City,Iowa,Big Ten,1889,,Kinnick Stadium,70585,1929
Iowa State,Cyclones,Ames,Iowa,Big 12,1892,,Jack Trice Stadium,61500,1975
Kansas,Jayhawks,Lawrence,Kansas,Big 12,1890,,David Booth Kansas Memorial Stadium,50071,1921
Kansas State,Wildcats,Manhattan,Kansas,Big 12,1896,,Bill Snyder Family Football Stadium,50000,1968
Kent State,Golden Flashes,Kent,Ohio,MAC,1920,,Dix Stadium,25000,1969
Kentucky,Wildcats,Lexington,Kentucky,SEC,1881,,Kroger Field at C.M. Newton Grounds,61000,1973
Liberty,Flames,Lynchburg,Virginia,FBS Independent,1973,2017,Arthur L. Williams Stadium,25000,1989
Louisiana,Ragin' Cajuns,Lafayette,Louisiana,Sun Belt,1902,,Cajun Field,41426,1971
Louisiana Tech,Bulldogs,Ruston,Louisiana,C-USA,1901,1989,Joe Aillet Stadium,28109,1968
Louisiana-Monroe,Warhawks,Monroe,Louisiana,Sun Belt,1951,1994,JPS Field at Malone Stadium,30427,1978
Louisville,Cardinals,Louisville,Kentucky,ACC,1910,,Cardinal Stadium,61000,1998
LSU,Tigers,Baton Rouge,Louisiana,SEC,1893,,Tiger Stadium,102321,1924
Marshall,Thundering Herd,Huntington,West Virginia,C-USA,1895,1997,Joan C. Edwards Stadium,38019,1991
Maryland,Terrapins,College Park,Maryland,Big Ten,1888,,Capital One Field at Maryland Stadium,51802,1950
Memphis,Tigers,Memphis,Tennessee,American,1912,,Liberty Bowl Memorial Stadium,62380,1965
Miami (FL),Hurricanes,Coral Gables,Florida,ACC,1926,,Hard Rock Stadium,65326,1987
Miami (OH),RedHawks,Oxford,Ohio,MAC,1888,,Fred C. Yager Stadium,24286,1983
Michigan,Wolverines,Ann Arbor,Michigan,Big Ten,1879,,Michigan Stadium,107601,1927
Michigan State,Spartans,East Lansing,Michigan,Big Ten,1885,,Spartan Stadium,75005,1923
Middle Tennessee,Blue Raiders,Murfreesboro,Tennessee,C-USA,1911,1999,"Johnny ""Red"" Floyd Stadium",31000,1933
Minnesota,Golden Gophers,Minneapolis,Minnesota,Big Ten,1882,,TCF Bank Stadium,50805,2009
Mississippi State,Bulldogs,Starkville,Mississippi,SEC,1895,,Davis Wade Stadium at Scott Field,61337,1914
Missouri,Tigers,Columbia,Missouri,SEC,1890,,Faurot Field at Memorial Stadium,71168,1927
Navy,Midshipmen,Annapolis,Maryland,American,1879,,Navy-Marine Corps Memorial Stadium,34000,1959
NC State,Wolfpack,Raleigh,North Carolina,ACC,1892,,Wayne Day Family Field at Carter-Finley Stadium,57583,1966
Nebraska,Cornhuskers,Lincoln,Nebraska,Big Ten,1890,,"Memorial Stadium, Tom Osborne Field",86047,1923
