city_fips,pop_2020
4000100,398
4000200,16481
4000250,732
4000300,148
4000350,69
4000450,83
4000600,734
4000700,311
4000900,405
4000950,118
4001050,58
4001150,220
4001250,482
4001350,168
4001400,805
4001700,18729
4001800,5028
4001900,413
4001950,193
4002000,38
4002050,5745
4002250,2221
4002300,1034
4002500,668
4002550,169
4002600,24725
4002650,1806
4002750,113
4002800,495
4002900,291
4003000,370
4003050,35
4003300,3195
4003350,85
4003500,301
4003550,11
4003750,105
4003815,63
4003900,37
4004075,155
4004200,303
4004250,1034
4004350,243
4004450,37290
4004700,135
4004750,1280
4004950,135
4005000,1179
4005070,298
4005090,191
4005400,282
4005450,42
4005550,422
4005650,182
4005700,20831
4005800,3029
4005900,174
4006100,578
4006200,438
4006350,56
4006400,28609
4006450,70
4006500,47
4006600,6085
4006650,727
4006700,8879
4006750,105
4006900,200
4006950,235
4007300,1166
4007350,574
4007450,396
4007500,1091
4007750,579
4007950,357
4008000,78
4008050,153
4008150,161
4008300,78
4008400,270
4008450,160
4008550,952
4008600,199
4008650,760
4008700,185
4008725,336
4008750,97
4008775,1028
4008900,4248
4009050,113540
4009100,4228
4009150,123
4009400,71
4009612,14
4009650,811
4009700,19
4009850,1039
4009875,220
4009887,61
4009900,70
4009950,123
4010050,124
4010150,815
4010250,1948
4010400,1292
4010450,208
4010460,146
4010550,184
4010600,1393
4010650,37
4010700,2930
4010800,1017
4010950,2916
4011050,443
4011100,309
4011150,193
4011300,323
4011450,143
4011530,233
4011550,185
4011562,382
4011575,120
4011600,468
4011650,494
4011750,27
4011975,483
4011990,94
4012000,360
4012050,1430
4012100,545
4012200,90
4012300,183
4012550,492
4012650,850
4012750,169
4012900,7440
4012910,74
4012915,160
4012930,276
4012937,404
4012960,405
4013000,436
4013100,81
4013135,1181
4013475,215
4013500,2858
4013600,400
4013650,3018
4013700,1991
4013750,1476
4013775,703
4013800,176
4013850,548
4013900,771
4013950,16051
4014200,12182
4014300,2059
4014350,427
4014500,155
4014700,19580
4014750,135
4014800,17
4014900,555
4015050,41
4015250,1220
4015300,287
4015350,3205
4015400,8521
4015625,319
4015800,1667
4016050,1027
4016100,728
4016200,624
4016250,290
4016350,7881
4016400,112
4016450,1378
4016500,2271
4016700,59
4016950,826
4017050,3
4017100,710
4017110,1511
4017300,592
4017350,110
4017450,117
4017550,108
4017700,472
4017800,9654
4017850,109
4017950,350
4018250,1299
4018275,184
4018450,238
4018550,306
4018750,315
4018850,8327
4018950,367
4019000,827
4019050,109
4019150,175
4019350,809
4019400,241
4019450,2823
4019650,78
4019665,34
4019850,267
4019900,21822
4020100,221
4020300,411
4020450,93
4020500,763
4020550,3372
4020650,867
4020700,1331
4020850,420
4020900,222
4021000,168
4021020,89
4021150,89
4021200,199
4021250,51
4021350,400
4021672,54
4021676,174
4021700,455
4021750,2560
4021755,233
4021760,157
4021900,22692
4022050,18589
4022100,21
4022200,327
4022275,76
4022300,40
4022350,404
4022400,293
4022450,44
4022500,594
4022550,394
4023100,262
4023200,94428
4023300,347
4023350,317
4023450,3656
4023500,11561
4023550,65
4023575,192
4023600,738
4023675,45
4023700,16989
4023850,69
4023900,703
4023950,51308
4024050,170
4024200,1000
4024300,89
4024460,159
4024500,80
4024650,2766
4024762,378
4024850,1136
4024875,626
4024900,1106
4024950,132
4025000,73
4025100,2740
4025250,21
4025400,317
4025450,312
4025650,114
4025700,32
4025850,77
4026000,38
4026200,78
4026250,183
4026350,1204
4026415,741
4026525,87
4026750,18
4026850,1049
4026900,450
4027100,518
4027150,335
4027200,3814
4027350,317
4027400,492
4027450,101
4027500,246
4027550,92
4027600,368
4027650,244
4027800,3468
4027850,174
4027900,23
4028250,433
4028350,251
4028500,725
4028700,177
4028800,60
4028900,994
4028950,154
4029100,1158
4029150,92
4029300,229
4029400,499
4029600,13691
4029800,71
4029850,2694
4029900,251
4030200,951
4030300,951
4030350,174
4030400,103
4030500,244
4030600,279
4030750,31
4030850,919
4030900,80
4030915,1321
4030950,1628
4031000,190
4031150,127
4031165,248
4031250,114
4031375,167
4031425,377
4031600,6956
4031700,10749
4031750,12965
4031900,716
4032050,105
4032250,479
4032350,102
4032400,58
4032550,205
