fips,state,county,place,place_name,county_name,place_pop_2010,county_pop_2010
39000,39,0,0,Ohio,Ohio,11536504,11536504
39001,39,1,0,Adams County,Adams County,28550,27929
39001,39,1,47012,Manchester village,Adams County,2023,27929
39001,39,1,61420,Peebles village,Adams County,1782,27929
39001,39,1,68196,Rome village,Adams County,94,27929
39001,39,1,71206,Seaman village,Adams County,944,27929
39001,39,1,84294,West Union village,Adams County,3241,27929
39001,39,1,85876,Winchester village,Adams County,1051,27929
39001,39,1,99990,Balance of Adams County,Adams County,19260,27929
39001,39,1,0,Bratton township,Adams County,1461,27929
39001,39,1,0,Brush Creek township,Adams County,1236,27929
39001,39,1,0,Franklin township,Adams County,1110,27929
39001,39,1,0,Green township,Adams County,651,27929
39001,39,1,68196,Rome village,Adams County,94,27929
39001,39,1,99990,Balance of Green township,Adams County,557,27929
39001,39,1,0,Jefferson township,Adams County,1046,27929
39001,39,1,0,Liberty township,Adams County,1965,27929
39001,39,1,84294,West Union village (pt.),Adams County,0,27929
39001,39,1,99990,Balance of Liberty township,Adams County,1965,27929
39001,39,1,0,Manchester township,Adams County,2052,27929
39001,39,1,47012,Manchester village (pt.),Adams County,2020,27929
39001,39,1,99990,Balance of Manchester township,Adams County,32,27929
39001,39,1,0,Meigs township,Adams County,3905,27929
39001,39,1,61420,Peebles village,Adams County,1782,27929
39001,39,1,99990,Balance of Meigs township,Adams County,2123,27929
39001,39,1,0,Monroe township,Adams County,686,27929
39001,39,1,0,Oliver township,Adams County,1319,27929
39001,39,1,0,Scott township,Adams County,2180,27929
39001,39,1,71206,Seaman village (pt.),Adams County,935,27929
39001,39,1,99990,Balance of Scott township,Adams County,1245,27929
39001,39,1,0,Sprigg township,Adams County,1867,27929
39001,39,1,47012,Manchester village (pt.),Adams County,3,27929
39001,39,1,99990,Balance of Sprigg township,Adams County,1864,27929
39001,39,1,0,Tiffin township,Adams County,5560,27929
39001,39,1,84294,West Union village (pt.),Adams County,3241,27929
39001,39,1,99990,Balance of Tiffin township,Adams County,2319,27929
39001,39,1,0,Wayne township,Adams County,1304,27929
39001,39,1,71206,Seaman village (pt.),Adams County,9,27929
39001,39,1,99990,Balance of Wayne township,Adams County,1140,27929
39001,39,1,0,Winchester township,Adams County,2208,27929
39001,39,1,85876,Winchester village,Adams County,1051,27929
39001,39,1,99990,Balance of Winchester township,Adams County,1157,27929
39003,39,3,0,Allen County,Allen County,106331,103842
39003,39,3,4752,Beaverdam village,Allen County,382,103842
39003,39,3,7426,Bluffton village (pt.),Allen County,3952,103842
39003,39,3,10884,Cairo village,Allen County,524,103842
39003,39,3,21602,Delphos city (pt.),Allen County,3938,103842
39003,39,3,24808,Elida village,Allen County,1905,103842
39003,39,3,34118,Harrod village,Allen County,417,103842
39003,39,3,41118,Lafayette village,Allen County,445,103842
39003,39,3,43554,Lima city,Allen County,38771,103842
39003,39,3,74034,Spencerville village,Allen County,2223,103842
39003,39,3,99990,Balance of Allen County,Allen County,50048,103842
39003,39,3,0,Amanda township,Allen County,2071,103842
39003,39,3,0,American township,Allen County,14381,103842
39003,39,3,24808,Elida village,Allen County,1905,103842
39003,39,3,99990,Balance of American township,Allen County,12476,103842
39003,39,3,0,Auglaize township,Allen County,2783,103842
39003,39,3,34118,Harrod village,Allen County,417,103842
39003,39,3,99990,Balance of Auglaize township,Allen County,2366,103842
39003,39,3,0,Bath township,Allen County,9725,103842
39003,39,3,0,Jackson township,Allen County,3056,103842
39003,39,3,41118,Lafayette village,Allen County,445,103842
39003,39,3,99990,Balance of Jackson township,Allen County,2611,103842
39003,39,3,0,Lima city,Allen County,38771,103842
39003,39,3,43554,Lima city,Allen County,38771,103842
39003,39,3,0,Marion township,Allen County,6715,103842
39003,39,3,21602,Delphos city (pt.),Allen County,3938,103842
39003,39,3,99990,Balance of Marion township,Allen County,2777,103842
39003,39,3,0,Monroe township,Allen County,2226,103842
39003,39,3,10884,Cairo village,Allen County,524,103842
39003,39,3,99990,Balance of Monroe township,Allen County,1702,103842
39003,39,3,0,Perry township,Allen County,3531,103842
39003,39,3,0,Richland township,Allen County,6289,103842
39003,39,3,4752,Beaverdam village,Allen County,382,103842
39003,39,3,7426,Bluffton village (pt.),Allen County,3952,103842
