"state","placefp","county","stab","cntyname","placenm","pop10","afact"
"State code","Place code","County code","State abbreviation","County name","Place name","Population (2010)","placefp to county allocation factor"
"40","00100","40013","OK","Bryan OK","Achille town, OK",492,1 
"40","00200","40123","OK","Pontotoc OK","Ada city, OK",16810,1 
"40","00250","40097","OK","Mayes OK","Adair town, OK",790,1 
"40","00450","40067","OK","Jefferson OK","Addington town, OK",114,1 
"40","00600","40115","OK","Ottawa OK","Afton town, OK",1049,1 
"40","00700","40081","OK","Lincoln OK","Agra town, OK",339,1 
"40","00900","40135","OK","Sequoyah OK","Akins CDP, OK",493,1 
"40","00950","40013","OK","Bryan OK","Albany CDP, OK",143,1 
"40","01050","40127","OK","Pushmataha OK","Albion town, OK",106,1 
"40","01150","40121","OK","Pittsburg OK","Alderson town, OK",304,1 
"40","01250","40051","OK","Grady OK","Alex town, OK",550,1 
"40","01350","40003","OK","Alfalfa OK","Aline town, OK",207,1 
"40","01400","40063","OK","Hughes OK","Allen town, OK",139,0.1491 
"40","01400","40123","OK","Pontotoc OK","Allen town, OK",793,0.8509 
"40","01700","40065","OK","Jackson OK","Altus city, OK",19813,1 
"40","01800","40151","OK","Woods OK","Alva city, OK",4945,1 
"40","01900","40051","OK","Grady OK","Amber town, OK",419,1 
"40","01950","40093","OK","Major OK","Ames town, OK",239,1 
"40","02000","40003","OK","Alfalfa OK","Amorita town, OK",37,1 
"40","02050","40015","OK","Caddo OK","Anadarko city, OK",6762,1 
"40","02250","40127","OK","Pushmataha OK","Antlers city, OK",2453,1 
"40","02300","40015","OK","Caddo OK","Apache town, OK",1444,1 
"40","02500","40039","OK","Custer OK","Arapaho town, OK",796,1 
"40","02550","40109","OK","Oklahoma OK","Arcadia town, OK",247,1 
"40","02600","40019","OK","Carter OK","Ardmore city, OK",24283,1 
"40","02650","40079","OK","Le Flore OK","Arkoma town, OK",1989,1 
"40","02750","40013","OK","Bryan OK","Armstrong town, OK",105,1 
"40","02800","40045","OK","Ellis OK","Arnett town, OK",524,1 
"40","02900","40121","OK","Pittsburg OK","Arpelar CDP, OK",272,1 
"40","03000","40125","OK","Pottawatomie OK","Asher town, OK",393,1 
"40","03050","40121","OK","Pittsburg OK","Ashland town, OK",66,1 
"40","03300","40005","OK","Atoka OK","Atoka city, OK",3107,1 
"40","03350","40063","OK","Hughes OK","Atwood town, OK",74,1 
"40","03500","40113","OK","Osage OK","Avant town, OK",320,1 
"40","03815","40135","OK","Sequoyah OK","Badger Lee CDP, OK",76,1 
"40","04075","40097","OK","Mayes OK","Ballou CDP, OK",176,1 
"40","04250","40113","OK","Osage OK","Barnsdall city, OK",1243,1 
"40","04450","40113","OK","Osage OK","Bartlesville city, OK",3,0.0001 
"40","04450","40147","OK","Washington OK","Bartlesville city, OK",35747,0.9999 
"40","04700","40107","OK","Okfuskee OK","Bearden town, OK",133,1 
"40","04750","40007","OK","Beaver OK","Beaver town, OK",1515,1 
"40","04950","40069","OK","Johnston OK","Bee CDP, OK",140,1 
"40","05000","40111","OK","Okmulgee OK","Beggs city, OK",1321,1 
"40","05070","40135","OK","Sequoyah OK","Belfonte CDP, OK",394,1 
"40","05090","40001","OK","Adair OK","Bell CDP, OK",535,1 
"40","05400","40013","OK","Bryan OK","Bennington town, OK",334,1 
"40","05550","40041","OK","Delaware OK","Bernice town, OK",562,1 
"40","05650","40149","OK","Washita OK","Bessie town, OK",181,1 
"40","05700","40109","OK","Oklahoma OK","Bethany city, OK",19051,1 
"40","05800","40125","OK","Pottawatomie OK","Bethel Acres town, OK",2895,1 
"40","05900","40035","OK","Craig OK","Big Cabin town, OK",265,1 
"40","06100","40103","OK","Noble OK","Billings town, OK",509,1 
"40","06200","40015","OK","Caddo OK","Binger town, OK",672,1 
"40","06350","40047","OK","Garfield OK","Bison CDP, OK",65,1 
"40","06400","40143","OK","Tulsa OK","Bixby city, OK",20706,0.9915 
"40","06400","40145","OK","Wagoner OK","Bixby city, OK",178,0.0085 
"40","06450","40117","OK","Pawnee OK","Blackburn town, OK",108,1 
"40","06500","40135","OK","Sequoyah OK","Blackgum CDP, OK",51,1 
"40","06600","40071","OK","Kay OK","Blackwell city, OK",7092,1 
"40","06650","40065","OK","Jackson OK","Blair town, OK",818,1 
"40","06700","40051","OK","Grady OK","Blanchard city, OK",1910,0.249 
"40","06700","40087","OK","McClain OK","Blanchard city, OK",5760,0.751 
"40","06900","40013","OK","Bryan OK","Blue CDP, OK",195,1 
"40","06950","40035","OK","Craig OK","Bluejacket town, OK",339,1 
"40","07300","40025","OK","Cimarron OK","Boise City city, OK",1266,1 
"40","07350","40013","OK","Bryan OK","Bokchito town, OK",632,1 
"40","07450","40079","OK","Le Flore OK","Bokoshe town, OK",512,1 
"40","07500","40107","OK","Okfuskee OK","Boley town, OK",1184,1 
"40","07750","40023","OK","Choctaw OK","Boswell town, OK",709,1 
"40","07950","40133","OK","Seminole OK","Bowlegs town, OK",405,1 
"40","08050","40135","OK","Sequoyah OK","Box CDP, OK",224,1 
"40","08150","40101","OK","Muskogee OK","Boynton town, OK",248,1 
"40","08300","40051","OK","Grady OK","Bradley town, OK",130,1 
"40","08400","40101","OK","Muskogee OK","Braggs town, OK",259,1 
"40","08450","40071","OK","Kay OK","Braman town, OK",217,1 
"40","08550","40137","OK","Stephens OK","Bray town, OK",1209,1 
"40","08600","40047","OK","Garfield OK","Breckenridge town, OK",245,1 
"40","08650","40135","OK","Sequoyah OK","Brent CDP, OK",716,1 
"40","08725","40051","OK","Grady OK","Bridge Creek town, OK",336,1 
"40","08750","40015","OK","Caddo OK","Bridgeport city, OK",116,1 
"40","08775","40021","OK","Cherokee OK","Briggs CDP, OK",303,1 
"40","08900","40037","OK","Creek OK","Bristow city, OK",4222,1 
"40","09050","40143","OK","Tulsa OK","Broken Arrow city, OK",80634,0.8157 
"40","09050","40145","OK","Wagoner OK","Broken Arrow city, OK",18216,0.1843 
"40","09100","40089","OK","McCurtain OK","Broken Bow city, OK",4120,1 
"40","09150","40029","OK","Coal OK","Bromide town, OK",33,0.2 
"40","09150","40069","OK","Johnston OK","Bromide town, OK",132,0.8 
"40","09400","40125","OK","Pottawatomie OK","Brooksville town, OK",63,1 
"40","09612","40041","OK","Delaware OK","Brush Creek CDP, OK",35,1 
"40","09650","40135","OK","Sequoyah OK","Brushy CDP, OK",900,1 
"40","09850","40059","OK","Harper OK","Buffalo town, OK",1299,1 
"40","09887","40041","OK","Delaware OK","Bull Hollow CDP, OK",67,1 
"40","09950","40113","OK","Osage OK","Burbank town, OK",141,1 
"40","10050","40003","OK","Alfalfa OK","Burlington town, OK",152,1 
"40","10250","40149","OK","Washita OK","Burns Flat town, OK",2057,1 
"40","10400","40131","OK","Rogers OK","Bushyhead CDP, OK",1314,1 
"40","10450","40039","OK","Custer OK","Butler town, OK",287,1 
"40","10460","40041","OK","Delaware OK","Butler CDP, OK",117,1 
"40","10550","40087","OK","McClain OK","Byars town, OK",255,1 
"40","10600","40123","OK","Pontotoc OK","Byng town, OK",1175,1 
"40","10650","40003","OK","Alfalfa OK","Byron town, OK",35,1 
"40","10700","40031","OK","Comanche OK","Cache city, OK",2796,1 
"40","10800","40013","OK","Bryan OK","Caddo town, OK",997,1 
"40","10950","40013","OK","Bryan OK","Calera town, OK",2164,1 
"40","11050","40017","OK","Canadian OK","Calumet town, OK",507,1 
"40","11100","40063","OK","Hughes OK","Calvin town, OK",294,1 
"40","11150","40043","OK","Dewey OK","Camargo town, OK",178,1 
"40","11300","40079","OK","Le Flore OK","Cameron town, OK",302,1 
"40","11450","40121","OK","Pittsburg OK","Canadian town, OK",220,1 
"40","11550","40005","OK","Atoka OK","Caney town, OK",205,1 
"40","11600","40011","OK","Blaine OK","Canton town, OK",625,1 
"40","11650","40149","OK","Washita OK","Canute town, OK",541,1 
"40","11750","40151","OK","Woods OK","Capron town, OK",23,1 
"40","11900","40115","OK","Ottawa OK","Cardin town, OK",3,1 
"40","11975","40135","OK","Sequoyah OK","Carlisle CDP, OK",606,1 
"40","12000","40003","OK","Alfalfa OK","Carmen town, OK",355,1 
"40","12050","40015","OK","Caddo OK","Carnegie town, OK",1723,1 
"40","12100","40081","OK","Lincoln OK","Carney town, OK",647,1 
"40","12200","40047","OK","Garfield OK","Carrier town, OK",85,1 
"40","12300","40009","OK","Beckham OK","Carter town, OK",256,1 
"40","12550","40013","OK","Bryan OK","Cartwright CDP, OK",609,1 
"40","12650","40073","OK","Kingfisher OK","Cashion town, OK",600,0.7481 
"40","12650","40083","OK","Logan OK","Cashion town, OK",202,0.2519 
"40","12750","40107","OK","Okfuskee OK","Castle town, OK",106,1 
"40","12900","40131","OK","Rogers OK","Catoosa city, OK",5487,0.7673 
"40","12900","40145","OK","Wagoner OK","Catoosa city, OK",1664,0.2327 
"40","12915","40041","OK","Delaware OK","Cayuga CDP, OK",140,1 
"40","12930","40097","OK","Mayes OK","Cedar Crest CDP, OK",312,1 
"40","12960","40083","OK","Logan OK","Cedar Valley city, OK",288,1 
"40","13000","40015","OK","Caddo OK","Cement town, OK",501,1 
"40","13100","40029","OK","Coal OK","Centrahoma city, OK",97,1 
"40","13135","40137","OK","Stephens OK","Central High town, OK",1199,1 
"40","13500","40081","OK","Lincoln OK","Chandler city, OK",3100,1 
"40","13600","40031","OK","Comanche OK","Chattanooga town, OK",461,1 
"40","13650","40091","OK","McIntosh OK","Checotah city, OK",3335,1 
"40","13700","40131","OK","Rogers OK","Chelsea town, OK",1964,1 
"40","13750","40003","OK","Alfalfa OK","Cherokee city, OK",1498,1 
"40","13775","40001","OK","Adair OK","Cherry Tree CDP, OK",883,1 
"40","13800","40093","OK","Major OK","Chester CDP, OK",117,1 
"40","13850","40001","OK","Adair OK","Chewey CDP, OK",135,1 
"40","13900","40129","OK","Roger Mills OK","Cheyenne town, OK",801,1 
"40","13950","40051","OK","Grady OK","Chickasha city, OK",16036,1 
"40","14200","40109","OK","Oklahoma OK","Choctaw city, OK",11146,1 
"40","14300","40097","OK","Mayes OK","Chouteau town, OK",2097,1 
"40","14350","40001","OK","Adair OK","Christie CDP, OK",218,1 
"40","14500","40083","OK","Logan OK","Cimarron City town, OK",150,1 
"40","14700","40131","OK","Rogers OK","Claremore city, OK",18581,1 
"40","14900","40127","OK","Pushmataha OK","Clayton town, OK",821,1 
"40","15050","40107","OK","Okfuskee OK","Clearview town, OK",48,1 
"40","15250","40041","OK","Delaware OK","Cleora CDP, OK",1463,1 
"40","15300","40093","OK","Major OK","Cleo Springs town, OK",338,1 
"40","15350","40117","OK","Pawnee OK","Cleveland city, OK",3251,1 
"40","15400","40039","OK","Custer OK","Clinton city, OK",9029,0.9996 
"40","15400","40149","OK","Washita OK","Clinton city, OK",4,0.0004 
"40","15625","40041","OK","Delaware OK","Cloud Creek CDP, OK",121,1 
"40","15800","40029","OK","Coal OK","Coalgate city, OK",1967,1 
"40","16050","40013","OK","Bryan OK","Colbert town, OK",1140,1 
"40","16100","40041","OK","Delaware OK","Colcord town, OK",815,1 
"40","16200","40087","OK","McClain OK","Cole town, OK",555,1 
"40","16350","40131","OK","Rogers OK","Collinsville city, OK",7,0.0012 
"40","16350","40143","OK","Tulsa OK","Collinsville city, OK",5599,0.9988 
"40","16400","40149","OK","Washita OK","Colony town, OK",136,1 
"40","16450","40137","OK","Stephens OK","Comanche city, OK",1663,1 
"40","16500","40115","OK","Ottawa OK","Commerce city, OK",2473,1 
"40","17050","40075","OK","Kiowa OK","Cooperton town, OK",16,1 
"40","17100","40147","OK","Washington OK","Copan town, OK",733,1 
