GEOID,NAME,variable,estimate
01001,"Autauga County, Alabama",B00001_001,3627
01003,"Baldwin County, Alabama",B00001_001,11216
01005,"Barbour County, Alabama",B00001_001,3005
01007,"Bibb County, Alabama",B00001_001,1625
01009,"Blount County, Alabama",B00001_001,5066
01011,"Bullock County, Alabama",B00001_001,626
01013,"Butler County, Alabama",B00001_001,2007
01015,"Calhoun County, Alabama",B00001_001,8482
01017,"Chambers County, Alabama",B00001_001,2729
01019,"Cherokee County, Alabama",B00001_001,2252
01021,"Chilton County, Alabama",B00001_001,3144
01023,"Choctaw County, Alabama",B00001_001,1490
01025,"Clarke County, Alabama",B00001_001,2134
01027,"Clay County, Alabama",B00001_001,1048
01029,"Cleburne County, Alabama",B00001_001,1579
01031,"Coffee County, Alabama",B00001_001,7213
01033,"Colbert County, Alabama",B00001_001,4232
01035,"Conecuh County, Alabama",B00001_001,993
01037,"Coosa County, Alabama",B00001_001,862
01039,"Covington County, Alabama",B00001_001,4226
01041,"Crenshaw County, Alabama",B00001_001,1844
01043,"Cullman County, Alabama",B00001_001,6579
01045,"Dale County, Alabama",B00001_001,4487
01047,"Dallas County, Alabama",B00001_001,3194
01049,"DeKalb County, Alabama",B00001_001,6301
01051,"Elmore County, Alabama",B00001_001,5941
01053,"Escambia County, Alabama",B00001_001,3228
01055,"Etowah County, Alabama",B00001_001,8126
01057,"Fayette County, Alabama",B00001_001,1671
01059,"Franklin County, Alabama",B00001_001,2451
01061,"Geneva County, Alabama",B00001_001,2994
01063,"Greene County, Alabama",B00001_001,665
01065,"Hale County, Alabama",B00001_001,1523
01067,"Henry County, Alabama",B00001_001,1698
01069,"Houston County, Alabama",B00001_001,26564
01071,"Jackson County, Alabama",B00001_001,5170
01073,"Jefferson County, Alabama",B00001_001,46534
01075,"Lamar County, Alabama",B00001_001,1420
01077,"Lauderdale County, Alabama",B00001_001,7111
01079,"Lawrence County, Alabama",B00001_001,2839
01081,"Lee County, Alabama",B00001_001,9378
01083,"Limestone County, Alabama",B00001_001,6075
01085,"Lowndes County, Alabama",B00001_001,1294
01087,"Macon County, Alabama",B00001_001,2583
01089,"Madison County, Alabama",B00001_001,24204
01091,"Marengo County, Alabama",B00001_001,1753
01093,"Marion County, Alabama",B00001_001,2625
01095,"Marshall County, Alabama",B00001_001,13214
01097,"Mobile County, Alabama",B00001_001,29134
01099,"Monroe County, Alabama",B00001_001,1720
01101,"Montgomery County, Alabama",B00001_001,16561
01103,"Morgan County, Alabama",B00001_001,8405
01105,"Perry County, Alabama",B00001_001,602
01107,"Pickens County, Alabama",B00001_001,2021
01109,"Pike County, Alabama",B00001_001,3435
01111,"Randolph County, Alabama",B00001_001,1968
01113,"Russell County, Alabama",B00001_001,3432
01115,"St. Clair County, Alabama",B00001_001,5226
01117,"Shelby County, Alabama",B00001_001,15921
01119,"Sumter County, Alabama",B00001_001,1172
01121,"Talladega County, Alabama",B00001_001,5733
01123,"Tallapoosa County, Alabama",B00001_001,3201
01125,"Tuscaloosa County, Alabama",B00001_001,14311
01127,"Walker County, Alabama",B00001_001,5620
01129,"Washington County, Alabama",B00001_001,1286
01131,"Wilcox County, Alabama",B00001_001,1108
01133,"Winston County, Alabama",B00001_001,2323
02013,"Aleutians East Borough, Alaska",B00001_001,1066
02016,"Aleutians West Census Area, Alaska",B00001_001,2012
02020,"Anchorage Municipality, Alaska",B00001_001,19552
02050,"Bethel Census Area, Alaska",B00001_001,7504
02060,"Bristol Bay Borough, Alaska",B00001_001,524
02068,"Denali Borough, Alaska",B00001_001,469
02070,"Dillingham Census Area, Alaska",B00001_001,2067
02090,"Fairbanks North Star Borough, Alaska",B00001_001,6203
02100,"Haines Borough, Alaska",B00001_001,355
02105,"Hoonah-Angoon Census Area, Alaska",B00001_001,833
02110,"Juneau City and Borough, Alaska",B00001_001,3492
02122,"Kenai Peninsula Borough, Alaska",B00001_001,7383
02130,"Ketchikan Gateway Borough, Alaska",B00001_001,2649
02150,"Kodiak Island Borough, Alaska",B00001_001,1401
02158,"Kusilvak Census Area, Alaska",B00001_001,4478
02164,"Lake and Peninsula Borough, Alaska",B00001_001,900
02170,"Matanuska-Susitna Borough, Alaska",B00001_001,14513
02180,"Nome Census Area, Alaska",B00001_001,4840
02185,"North Slope Borough, Alaska",B00001_001,3093
02188,"Northwest Arctic Borough, Alaska",B00001_001,3806
02195,"Petersburg Borough, Alaska",B00001_001,1235
02198,"Prince of Wales-Hyder Census Area, Alaska",B00001_001,2220
02220,"Sitka City and Borough, Alaska",B00001_001,1522
02230,"Skagway Municipality, Alaska",B00001_001,503
02240,"Southeast Fairbanks Census Area, Alaska",B00001_001,1172
02261,"Valdez-Cordova Census Area, Alaska",B00001_001,991
02275,"Wrangell City and Borough, Alaska",B00001_001,796
02282,"Yakutat City and Borough, Alaska",B00001_001,359
02290,"Yukon-Koyukuk Census Area, Alaska",B00001_001,2755
04001,"Apache County, Arizona",B00001_001,11437
04003,"Cochise County, Arizona",B00001_001,10969
04005,"Coconino County, Arizona",B00001_001,13438
04007,"Gila County, Arizona",B00001_001,4185
04009,"Graham County, Arizona",B00001_001,3750
04011,"Greenlee County, Arizona",B00001_001,982
04012,"La Paz County, Arizona",B00001_001,1824
04013,"Maricopa County, Arizona",B00001_001,292804
04015,"Mohave County, Arizona",B00001_001,13586
04017,"Navajo County, Arizona",B00001_001,12752
04019,"Pima County, Arizona",B00001_001,74994
04021,"Pinal County, Arizona",B00001_001,26930
04023,"Santa Cruz County, Arizona",B00001_001,2935
04025,"Yavapai County, Arizona",B00001_001,13653
04027,"Yuma County, Arizona",B00001_001,14957
05001,"Arkansas County, Arkansas",B00001_001,1994
05003,"Ashley County, Arkansas",B00001_001,1990
05005,"Baxter County, Arkansas",B00001_001,3506
05007,"Benton County, Arkansas",B00001_001,19979
05009,"Boone County, Arkansas",B00001_001,3408
05011,"Bradley County, Arkansas",B00001_001,1120
05013,"Calhoun County, Arkansas",B00001_001,641
05015,"Carroll County, Arkansas",B00001_001,1988
05017,"Chicot County, Arkansas",B00001_001,1141
05019,"Clark County, Arkansas",B00001_001,2514
05021,"Clay County, Arkansas",B00001_001,2035
05023,"Cleburne County, Arkansas",B00001_001,2451
05025,"Cleveland County, Arkansas",B00001_001,1032
05027,"Columbia County, Arkansas",B00001_001,1950
05029,"Conway County, Arkansas",B00001_001,2314
05031,"Craighead County, Arkansas",B00001_001,7162
05033,"Crawford County, Arkansas",B00001_001,4674
05035,"Crittenden County, Arkansas",B00001_001,4667
05037,"Cross County, Arkansas",B00001_001,1712
05039,"Dallas County, Arkansas",B00001_001,916
05041,"Desha County, Arkansas",B00001_001,1323
05043,"Drew County, Arkansas",B00001_001,1374
05045,"Faulkner County, Arkansas",B00001_001,9558
05047,"Franklin County, Arkansas",B00001_001,1558
05049,"Fulton County, Arkansas",B00001_001,1289
05051,"Garland County, Arkansas",B00001_001,6022
