Team,Stadium,City,State,Conference,Capacity,Built,Expanded 2,Surface
Air Force,Falcon Stadium,Colorado Springs,CO,Mountain West,"46,692",1962,,FieldTurf
Akron,InfoCision Stadium-Summa Field,Akron,OH,MAC,"30,000",2009,,ProGrass Artificial Turf
Alabama,Bryant-Denny Stadium,Tuscaloosa,AL,SEC,"101,821",1929,2010,Grass
Appalachian State,Kidd Brewer Stadium,Boone,NC,Sun Belt,"30,000",1962,2017,FieldTurf
Arizona,Arizona Stadium,Tucson,AZ,Pac-12,"56,029",1928,1988,FieldTurf
Arizona State,"Sun Devil Stadium, Frank Kush Field",Tempe,AZ,Pac-12,"56,232",1958,2016,Bermuda Grass
Arkansas,"Donald W. Reynolds Razorback Stadium, Frank Broyles Field",Fayetteville,AR,SEC,"72,000",1938,2006,PowerBlade HP
Arkansas State,Centennial Bank Stadium,Jonesboro,AR,Sun Belt,"30,964",1974,2002,ProGreen
Army,Blaik Field at Michie Stadium,West Point,NY,Independent,"38,000",1924,2001,Field Turf
Auburn,Pat Dye Field at Jordan-Hare Stadium,Auburn,AL,SEC,"87,451",1939,2004,Grass
Ball State,Scheumann Stadium,Muncie,IN,MAC,"22,500",1967,2007,FieldTurf
Baylor,McLane Stadium,Waco,TX,Big 12,"45,140",2014,,Matrix Artificial Turf
Boise State,Albertsons Stadium,Boise,ID,Mountain West,"36,387",1970,2012,Smurf Turf
Boston College,Alumni Stadium,Chestnut Hill,MA,ACC,"44,500",1957,1995,AstroTurf
Bowling Green,Doyt L. Perry Stadium,Bowling Green,OH,MAC,"24,000",1966,,FieldTurf
Buffalo,UB Stadium,Amherst,NY,MAC,"29,013",1993,,A-Turf Titan
BYU,LaVell Edwards Stadium,Provo,UT,Independent,"63,470",1964,1982,Grass
California,California Memorial Stadium,Berkeley,CA,Pac-12,"62,717",1923,2012,FieldTurf
Central Michigan,Kelly/Shorts Stadium,Mount Pleasant,MI,MAC,"30,255",1972,1997,FieldTurf
Charlotte,McColl-Richardson Field at Jerry Richardson Stadium,Charlotte,NC,C-USA,"15,314",2013,,Matrix Artificial Turf
Cincinnati,Nippert Stadium,Cincinnati,OH,American,"40,000",1915,2015,UBU Sports Speed M6-M
Clemson,Frank Howard Field at Clemson Memorial Stadium,Clemson,SC,ACC,"81,500",1942,2006,Grass
Coastal Carolina,Brooks Stadium,Conway,SC,Sun Belt,"20,000",2003,2018,FieldTurf
Colorado,Folsom Field,Boulder,CO,Pac-12,"50,183",1924,2003,Grass
Colorado State,Sonny Lubick Field at Canvas Stadium,Fort Collins,CO,Mountain West,"41,200",2017,,Shaw Sports Artificial Turf
UConn,Pratt & Whitney Stadium at Rentschler Field,East Hartford,CT,American,"40,000",2003,,Kentucky Bluegrass
